日期,付费金额,uid
2021/2/18 12:14,60,6764009
2021/2/18 12:08,60,2205916
2021/2/18 12:08,30,6772915
2021/2/18 12:08,60,2205916
2021/2/18 12:07,60,2205916
2021/2/18 12:07,60,2205916
2021/2/18 12:07,300,2205916
2021/2/18 12:04,680,5663040
2021/2/18 12:03,300,6425694
2021/2/18 11:58,60,6690459
2021/2/18 11:57,60,5839544
2021/2/18 11:52,680,2654277
2021/2/18 11:51,60,5839544
2021/2/18 11:46,150,3589579
2021/2/18 11:42,30,6688417
2021/2/18 11:41,30,6640565
2021/2/18 11:40,60,6425694
2021/2/18 11:39,30,2948509
2021/2/18 11:34,150,6504687
2021/2/18 11:33,60,6500229
2021/2/18 11:30,30,6504687
2021/2/18 11:24,60,6057085
2021/2/18 11:23,60,6236425
2021/2/18 11:20,150,6768677
2021/2/18 11:15,680,6687610
2021/2/18 11:10,300,6670271
2021/2/18 11:07,60,2184381
2021/2/18 10:56,60,5706616
2021/2/18 10:48,300,6768270
2021/2/18 10:40,30,6762478
2021/2/18 10:40,60,6765555
2021/2/18 10:33,1280,6501880
2021/2/18 10:32,30,6755479
2021/2/18 10:32,680,5992729
2021/2/18 10:29,300,6758573
2021/2/18 10:27,30,6758573
2021/2/18 10:27,60,2347636
2021/2/18 10:25,60,6676397
2021/2/18 10:24,300,6714237
2021/2/18 10:24,60,6766903
2021/2/18 10:20,680,6598157
2021/2/18 10:19,300,5992729
2021/2/18 10:19,150,6057085
2021/2/18 10:17,30,6765675
2021/2/18 10:05,60,6490305
2021/2/18 9:59,300,6657116
2021/2/18 9:59,60,5462812
2021/2/18 9:57,680,5462812
2021/2/18 9:57,150,6663845
2021/2/18 9:55,30,6765288
2021/2/18 9:54,1280,5462812
2021/2/18 9:51,30,6760715
2021/2/18 9:48,300,6754846
2021/2/18 9:48,300,5992729
2021/2/18 9:40,30,6694781
2021/2/18 9:31,680,6663694
2021/2/18 9:23,1280,3889381
2021/2/18 9:21,300,6764500
2021/2/18 9:20,60,6676397
2021/2/18 9:19,3280,3889381
2021/2/18 9:19,60,6676397
2021/2/18 9:18,300,6676397
2021/2/18 9:18,1280,6676397
2021/2/18 9:16,300,6764042
2021/2/18 9:15,680,3889381
2021/2/18 9:15,6480,3889381
2021/2/18 9:13,300,6763930
2021/2/18 9:12,680,6763930
2021/2/18 9:08,60,5690453
2021/2/18 9:08,60,5690453
2021/2/18 9:08,60,5690453
2021/2/18 9:07,680,6763930
2021/2/18 8:59,300,6580862
2021/2/18 8:59,300,6580862
2021/2/18 8:56,1280,2208733
2021/2/18 8:43,60,6675270
2021/2/18 8:36,300,6394151
2021/2/18 8:24,30,6682505
2021/2/18 8:09,300,2196092
2021/2/18 8:06,300,6691472
2021/2/18 8:05,60,6691472
2021/2/18 8:02,60,6679490
2021/2/18 8:01,150,3333835
2021/2/18 7:59,30,6644933
2021/2/18 7:59,150,6644933
2021/2/18 7:56,150,6751865
2021/2/18 7:55,300,6751865
2021/2/18 7:55,300,6751865
2021/2/18 7:54,300,6751865
2021/2/18 7:53,300,6751865
2021/2/18 6:59,150,6751865
2021/2/18 6:55,150,6751865
2021/2/18 6:47,30,6760893
2021/2/18 6:29,60,6340354
2021/2/18 6:27,30,6340354
2021/2/18 6:14,300,6558487
2021/2/18 6:00,1980,2241123
2021/2/18 5:52,300,6400458
2021/2/18 5:52,300,6400458
2021/2/18 5:27,300,6572995
2021/2/18 5:22,300,6572995
2021/2/18 5:17,60,6670740
2021/2/18 5:15,150,6670740
2021/2/18 5:15,300,6670740
2021/2/18 5:13,680,6670740
2021/2/18 5:13,30,6576251
2021/2/18 5:13,300,6670740
2021/2/18 5:12,60,6576251
2021/2/18 5:05,60,6760516
2021/2/18 5:01,150,6721494
2021/2/18 4:55,300,6719223
2021/2/18 4:34,60,6576251
2021/2/18 4:23,680,6670740
2021/2/18 4:18,1280,6508400
2021/2/18 3:40,30,6518073
2021/2/18 3:35,60,6361591
2021/2/18 3:20,300,6759682
2021/2/18 2:59,30,6752574
2021/2/18 2:53,60,6753580
2021/2/18 2:45,150,6759348
2021/2/18 2:41,60,4063325
2021/2/18 2:29,300,6656221
2021/2/18 2:28,30,6759538
2021/2/18 2:27,150,6759538
2021/2/18 2:20,60,6758979
2021/2/18 2:14,680,2896483
2021/2/18 2:14,300,6661255
2021/2/18 2:03,680,6704957
2021/2/18 1:57,30,6759128
2021/2/18 1:50,30,6759303
2021/2/18 1:49,60,6062113
2021/2/18 1:49,60,6062113
2021/2/18 1:48,300,6062113
2021/2/18 1:47,30,6533413
2021/2/18 1:46,60,6231180
2021/2/18 1:46,60,6231180
2021/2/18 1:42,680,6171278
2021/2/18 1:42,300,6171278
2021/2/18 1:39,30,6690752
2021/2/18 1:39,60,6062113
2021/2/18 1:38,60,6062113
2021/2/18 1:38,60,6062113
2021/2/18 1:38,300,6062113
2021/2/18 1:29,30,6730701
2021/2/18 1:19,300,6231180
2021/2/18 1:10,60,6149566
2021/2/18 1:08,300,6758207
2021/2/18 1:08,60,6662125
2021/2/18 1:07,300,6709867
2021/2/18 1:06,680,6709867
2021/2/18 0:58,300,4668823
2021/2/18 0:56,300,6704957
2021/2/18 0:55,150,6704957
2021/2/18 0:45,30,6756898
2021/2/18 0:36,680,6756408
2021/2/18 0:28,300,6720865
2021/2/18 0:24,150,4464606
2021/2/18 0:22,60,6484458
2021/2/18 0:19,300,6560528
2021/2/18 0:17,30,6485033
2021/2/18 0:15,30,6560528
2021/2/18 0:13,680,6754846
2021/2/18 0:11,300,6757092
2021/2/18 0:04,60,6175214
2021/2/18 0:01,300,6755861
2021/2/17 23:59,60,6484458
2021/2/17 23:59,300,6753039
2021/2/17 23:59,60,6484458
2021/2/17 23:58,60,6484458
2021/2/17 23:58,60,6484458
2021/2/17 23:58,60,6753039
2021/2/17 23:54,30,6560475
2021/2/17 23:53,30,6347602
2021/2/17 23:52,30,3796107
2021/2/17 23:50,300,3796107
2021/2/17 23:46,30,5771737
2021/2/17 23:46,60,6484458
2021/2/17 23:45,60,6734921
2021/2/17 23:45,30,6735053
2021/2/17 23:42,3280,5687315
2021/2/17 23:40,6480,5687315
2021/2/17 23:39,60,6035064
2021/2/17 23:38,300,6748977
2021/2/17 23:36,680,6393737
2021/2/17 23:34,300,3254670
2021/2/17 23:33,30,3254670
2021/2/17 23:33,300,6748718
2021/2/17 23:32,150,3254670
2021/2/17 23:32,680,6580976
2021/2/17 23:30,60,6754022
2021/2/17 23:26,680,2951874
2021/2/17 23:25,300,2488364
2021/2/17 23:24,30,6575980
2021/2/17 23:23,300,6747338
2021/2/17 23:22,300,6754906
2021/2/17 23:22,60,6575980
2021/2/17 23:16,300,6754969
2021/2/17 23:13,1280,6704496
2021/2/17 23:13,300,6671369
2021/2/17 23:13,680,6704496
2021/2/17 23:12,30,6671369
2021/2/17 23:10,60,6704496
2021/2/17 23:08,150,6744675
2021/2/17 23:08,300,6704496
2021/2/17 23:08,30,5875659
2021/2/17 23:07,30,6744675
2021/2/17 23:06,150,6752465
2021/2/17 23:06,30,5875659
2021/2/17 23:05,30,5875659
2021/2/17 22:59,60,3048254
2021/2/17 22:59,60,6367044
2021/2/17 22:58,300,6488837
2021/2/17 22:52,300,6716480
2021/2/17 22:51,150,6671369
2021/2/17 22:47,30,6751380
2021/2/17 22:45,60,6560528
2021/2/17 22:30,300,6579182
2021/2/17 22:29,300,6383689
2021/2/17 22:21,300,6749191
2021/2/17 22:18,60,6677958
2021/2/17 22:14,60,6685984
2021/2/17 22:13,1280,2350826
2021/2/17 22:11,300,6668051
2021/2/17 22:06,60,2733487
2021/2/17 22:05,680,6739400
2021/2/17 22:04,60,6385987
2021/2/17 22:03,60,6385987
2021/2/17 21:57,60,6498285
2021/2/17 21:56,150,5259645
2021/2/17 21:53,60,5786856
2021/2/17 21:51,150,3796107
